segment_id,recording,mode,start_s,end_s,duration_s,baseline_endpoint_text,low_endpoint_text,moderate_endpoint_text,baseline_partial_summary,low_partial_summary,moderate_partial_summary,baseline_endpoint_count,low_endpoint_count,moderate_endpoint_count,contains_keyword_candidate,known_sequence_hint,expected_type,expected_text,label_confidence,notes
seg_1786194763609_011_free_text,1786194763609,free_text,12.780,13.700,0.920,,,мыса,,,мыса,0,0,1,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_012_free_text,1786194763609,free_text,16.060,20.060,4.000,вниз вверх | верх | вниз,для для верх,для бег,вниз вверх -> вниз вверх вниз -> верх,для -> для для -> для для верх,для -> для бег,3,1,1,вверх;вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_013_free_text,1786194763609,free_text,20.060,21.380,1.320,вниз,,для бег | мисс,,,для -> для бег -> мисс,1,0,2,вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_014_free_text,1786194763609,free_text,25.180,29.180,4.000,вниз вниз вниз | для них период,вниз вниз вниз | для них,вниз вниз вниз | верх низ,близ -> да будет мир -> вниз вниз -> вниз вниз вниз -> для -> для них -> для них период,быть -> для -> для них,вниз вниз -> вниз вниз вниз -> я -> я не -> верх низ,2,2,2,вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_015_free_text,1786194763609,free_text,29.180,29.540,0.360,для них период,для них,верх низ,для -> для них -> для них период,для -> для них,я -> я не -> верх низ,1,1,1,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_016_free_text,1786194763609,free_text,46.780,50.780,4.000,для для вниз вниз вниз | был ты был и науки,верх для для боли | долгий долгий долгий долгий | болты,верх для для вниз вниз | долгий долгий долгий долгий долгий | болты болты,для -> для для -> для для были -> для до боли внизу -> для для вниз вниз вниз -> был ты был и -> был ты был пить алкоголь -> был ты был и науки,верх -> бен бернанке -> верх для -> верх для для -> был -> долгой -> долгой дороги -> долгий долгий -> долгий долгий долгий -> долгий долгий долгий был -> долгий долгий долгий долгий -> болты,верх -> верх для -> верх для для -> верх для для близ -> верх для для вниз вниз -> долгой -> долгой дороги -> долгий долгий долгий -> долгий долгий долгий долгий -> долгий долгий долгий долгий долгий -> болты,2,3,3,вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_017_free_text,1786194763609,free_text,50.780,54.500,3.720,для для вниз вниз вниз | был ты был и науки,верх для для боли | болты,верх для для вниз вниз | болты болты,для -> для для -> для для были -> для до боли внизу -> для для вниз вниз вниз -> был ты был и -> был ты был пить алкоголь -> был ты был и науки,верх -> бен бернанке -> верх для -> верх для для -> болты,верх -> верх для -> верх для для -> верх для для близ -> верх для для вниз вниз -> болты,2,2,2,вниз,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_018_free_text,1786194763609,free_text,54.940,57.860,2.920,сбер,для верх,лет верх,сбер,я,я,1,1,1,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_019_free_text,1786194763609,free_text,58.300,62.300,4.000,печать белый вода | долгий долгий,печать белый года | купить долгий долгий,печать белый года | долгий толпы,печать -> печать белый -> печать белый воротничок -> долгой -> долгий долгий,печать -> печать белый -> печать белый воротничок -> болты -> долгий долгий,печать -> печать белый -> печать белый воротничок -> болты -> долгий долгий,2,2,2,печать;бел,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_020_free_text,1786194763609,free_text,62.300,64.580,2.280,печать белый вода | долгий долгий | бен,печать белый года | купить долгий долгий | бен,печать белый года | долгий толпы | бен,печать -> печать белый -> печать белый воротничок -> долгой -> долгий долгий -> бен,печать -> печать белый -> печать белый воротничок -> болты -> долгий долгий -> бен,печать -> печать белый -> печать белый воротничок -> болты -> долгий долгий -> бен,3,3,3,печать;бел,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_021_free_text,1786194763609,free_text,71.660,75.660,4.000,долгой | моделей | надо,доп | моделей | надо,видят | моделей | надо,да -> долгой -> моделей -> надо,моделей -> надо,моделей -> надо,3,3,3,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_022_free_text,1786194763609,free_text,81.740,85.220,3.480,трогать,долбить,долбить,трогать,,долбить,1,1,1,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_023_free_text,1786194763609,free_text,89.500,92.420,2.920,дорогой | дебютной доступности доступность,долгой | доступность | доступность,долгой | доступность | доступность,дорогой -> да только -> доступности -> доступности для -> доступности доступность,долгой -> да тут -> доступность,долгой -> да тут -> доступность,2,3,3,доступн,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_024_free_text,1786194763609,free_text,94.780,98.180,3.400,белый | дебютной доступности доступность,белый | доступность,белый | доступность,белый -> да только -> доступности -> доступности для -> доступности доступность,белый -> да тут -> доступность,белый -> да тут -> доступность,2,2,2,доступн;бел,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_025_free_text,1786194763609,free_text,104.860,108.860,4.000,надо надо | доступность,вода вода | доступность,вода вода | доступность,надо -> надо надо -> доступность,мадам -> надо -> вода вода -> доступность,мадам -> надо -> надо было -> вода вода -> доступность,2,2,2,доступн,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_026_free_text,1786194763609,free_text,108.860,110.660,1.800,надо надо,вода вода,вода вода,надо -> надо надо,мадам -> надо -> вода вода,мадам -> надо -> надо было -> вода вода,1,1,1,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_027_free_text,1786194763609,free_text,117.740,120.740,3.000,,,питер,,,,0,0,1,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_028_free_text,1786194763609,free_text,155.740,159.740,4.000,список | коробка а рока,были | того,были | того,список -> коробка -> коробка а -> коробка рока,были -> кроме того -> кроме того как,кроме того -> кроме того как,2,2,2,список,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_029_free_text,1786194763609,free_text,159.740,162.020,2.280,коробка а рока,были | было халка,были | было,коробка -> коробка а -> коробка рока,были -> было,было,1,2,2,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_030_free_text,1786194763609,free_text,161.980,164.900,2.920,были этой,было халка,готовить | было,этой,было,этой -> было,1,1,2,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_031_free_text,1786194763609,free_text,169.100,173.100,4.000,надо | а рота,готовить | надо | рока рота,очень надо | рота,надо -> рота,надо,надо,2,3,2,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_032_free_text,1786194763609,free_text,173.100,174.980,1.880,надо,надо | рока рота,очень надо | рота,надо,надо,надо,1,2,2,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194763609_033_free_text,1786194763609,free_text,178.748,181.248,2.500,,надо,надо,,надо,,0,1,1,,вниз/вверх; печать; белый; назад; жёлтый; доступность; список; напитки,unlabeled,,,
seg_1786194978795_034_command_menu,1786194978795,command_menu,17.500,21.500,4.000,вверх вверх вверх | вниз | вниз,вверх | вниз | вниз,вверх | вниз,вверх -> вверх вверх -> вверх вверх вверх -> вниз,доступность -> вверх -> вниз,доступность -> вверх -> вниз,3,3,2,доступн;вверх;вниз,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_035_command_menu,1786194978795,command_menu,21.500,22.820,1.320,вниз,вниз,,вниз,вниз,,1,1,0,вниз,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_036_command_menu,1786194978795,command_menu,22.780,26.780,4.000,вниз вниз вниз | вниз,вниз вниз вниз | вверх вниз печать,вниз вниз вниз | вверх вниз печать,вниз -> вниз вниз -> вниз вниз доступность -> вниз вниз вниз -> доступность -> вверх -> вниз печать,вниз -> вниз вниз -> вниз вниз вниз -> вверх -> вверх вниз -> вверх вниз печать,вниз -> вниз вниз -> вниз вниз вниз -> вверх -> вверх вниз -> вверх вниз печать,2,2,2,доступн;вверх;вниз;печать,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_037_command_menu,1786194978795,command_menu,26.780,30.780,4.000,вниз вниз вниз | вниз,вниз вниз вниз | вверх вниз печать,вниз вниз вниз | вверх вниз печать,вниз -> вниз вниз -> вниз вниз доступность -> вниз вниз вниз -> доступность -> вверх -> вниз печать,вниз -> вниз вниз -> вниз вниз вниз -> вверх -> вверх вниз -> вверх вниз печать,вниз -> вниз вниз -> вниз вниз вниз -> вверх -> вверх вниз -> вверх вниз печать,2,2,2,доступн;вверх;вниз;печать,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_038_command_menu,1786194978795,command_menu,30.780,31.460,0.680,вниз,вверх вниз печать,вверх вниз печать,доступность -> вверх -> вниз -> вниз печать,вверх -> вверх вниз -> вверх вниз печать,вверх -> вверх вниз -> вверх вниз печать,1,1,1,доступн;вверх;вниз;печать,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_039_command_menu,1786194978795,command_menu,105.340,107.780,2.440,доступность | доступность,доступность,доступность,настройки -> доступность,доступность,доступность,2,1,1,доступн,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_040_command_menu,1786194978795,command_menu,161.980,163.940,1.960,,справка,справка,,справка,справка,0,1,1,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_041_free_text,1786194978795,free_text,17.900,20.900,3.000,верх | вниз,для для верх,для бег,верх,для -> для для -> для для верх,для -> для бег,2,1,1,вниз,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_042_free_text,1786194978795,free_text,20.860,23.780,2.920,,,для бег | мисс,,,для -> для бег -> мисс,0,0,2,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_043_free_text,1786194978795,free_text,26.620,30.620,4.000,вниз вниз вниз | для них период,вниз вниз вниз | для них,вниз вниз вниз | верх низ,близ -> да будет мир -> вниз вниз -> вниз вниз вниз -> для -> для них -> для них период,быть -> для -> для них,вниз вниз -> вниз вниз вниз -> я -> я не -> верх низ,2,2,2,вниз,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_044_free_text,1786194978795,free_text,30.620,32.420,1.800,для них период,,,для -> для них -> для них период,,,1,0,0,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_045_free_text,1786194978795,free_text,37.660,41.660,4.000,долгий долгий долгий долгий,долгий долгий долгий долгий,долгий долгий долгий долгий долгий,жёлтыми волосами -> долгий долгий долгий -> долгий долгий долгий долгий,был -> долгой -> долгой дороги -> долгий долгий -> долгий долгий долгий -> долгий долгий долгий был -> долгий долгий долгий долгий,долгой -> долгой дороги -> долгий долгий долгий -> долгий долгий долгий долгий -> долгий долгий долгий долгий долгий,1,1,1,жёлт,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_046_free_text,1786194978795,free_text,41.660,45.660,4.000,долгий долгий долгий долгий,долгий долгий долгий долгий,долгий долгий долгий долгий долгий,жёлтыми волосами -> долгий долгий долгий -> долгий долгий долгий долгий,был -> долгой -> долгой дороги -> долгий долгий -> долгий долгий долгий -> долгий долгий долгий был -> долгий долгий долгий долгий,долгой -> долгой дороги -> долгий долгий долгий -> долгий долгий долгий долгий -> долгий долгий долгий долгий долгий,1,1,1,жёлт,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_047_free_text,1786194978795,free_text,45.660,48.260,2.600,для для вниз вниз вниз,верх для для боли | долгий долгий долгий долгий,верх для для вниз вниз | долгий долгий долгий долгий долгий,для -> для для -> для для были -> для до боли внизу -> для для вниз вниз вниз,верх -> бен бернанке -> верх для -> верх для для -> был -> долгой -> долгой дороги -> долгий долгий -> долгий долгий долгий -> долгий долгий долгий был -> долгий долгий долгий долгий,верх -> верх для -> верх для для -> верх для для близ -> верх для для вниз вниз -> долгой -> долгой дороги -> долгий долгий долгий -> долгий долгий долгий долгий -> долгий долгий долгий долгий долгий,1,2,2,вниз,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_048_free_text,1786194978795,free_text,48.700,52.700,4.000,для для вниз вниз вниз | был ты был и науки,верх для для боли | болты,верх для для вниз вниз | болты болты,для -> для для -> для для были -> для до боли внизу -> для для вниз вниз вниз -> был ты был и -> был ты был пить алкоголь -> был ты был и науки,верх -> бен бернанке -> верх для -> верх для для -> болты,верх -> верх для -> верх для для -> верх для для близ -> верх для для вниз вниз -> болты,2,2,2,вниз,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_049_free_text,1786194978795,free_text,52.700,54.020,1.320,для для вниз вниз вниз | был ты был и науки,,,для -> для для -> для для были -> для до боли внизу -> для для вниз вниз вниз -> был ты был и -> был ты был пить алкоголь -> был ты был и науки,,,2,0,0,вниз,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_050_free_text,1786194978795,free_text,58.780,62.780,4.000,печать белый вода | долгий долгий,печать белый года | купить долгий долгий,печать белый года | долгий толпы,печать -> печать белый -> печать белый воротничок -> долгой -> долгий долгий,печать -> печать белый -> печать белый воротничок -> болты -> долгий долгий,печать -> печать белый -> печать белый воротничок -> болты -> долгий долгий,2,2,2,печать;бел,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_051_free_text,1786194978795,free_text,62.780,64.100,1.320,печать белый вода | долгий долгий,печать белый года | купить долгий долгий,печать белый года | долгий толпы,печать -> печать белый -> печать белый воротничок -> долгой -> долгий долгий,печать -> печать белый -> печать белый воротничок -> болты -> долгий долгий,печать -> печать белый -> печать белый воротничок -> болты -> долгий долгий,2,2,2,печать;бел,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_052_free_text,1786194978795,free_text,64.060,67.460,3.400,печать белый вода | бен,печать белый года | бен,печать белый года | бен,печать -> печать белый -> печать белый воротничок -> бен,печать -> печать белый -> печать белый воротничок -> бен,печать -> печать белый -> печать белый воротничок -> бен,2,2,2,печать;бел,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_053_free_text,1786194978795,free_text,67.420,70.340,2.920,болтун,балки,балки,болтун,балки,балки,1,1,1,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_054_free_text,1786194978795,free_text,70.780,72.740,1.960,моделей,доп | моделей,видят | моделей,моделей,моделей,моделей,1,2,2,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_055_free_text,1786194978795,free_text,74.140,77.060,2.920,долгой | надо,доп | надо,видят | надо,да -> долгой -> надо,надо,надо,2,2,2,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_056_free_text,1786194978795,free_text,86.140,90.140,4.000,дорогой | доступность,долгой | доступность,долгой | доступность,дорогой -> доступность,долгой,долгой,2,2,2,доступн,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_057_free_text,1786194978795,free_text,90.140,90.500,0.360,дорогой,долгой,долгой,дорогой,долгой,долгой,1,1,1,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_058_free_text,1786194978795,free_text,91.420,95.420,4.000,дорогой | белый | дебютной доступности доступность,долгой | белый | доступность,долгой | белый | доступность,дорогой -> белый -> да только -> доступности -> доступности для -> доступности доступность,долгой -> белый -> да тут -> доступность,долгой -> белый -> да тут -> доступность,3,3,3,доступн;бел,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_059_free_text,1786194978795,free_text,95.420,97.700,2.280,белый | дебютной доступности доступность,белый,белый,белый -> да только -> доступности -> доступности для -> доступности доступность,белый,белый,2,1,1,доступн;бел,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_060_free_text,1786194978795,free_text,105.820,109.220,3.400,надо надо | доступность,вода вода | доступность,вода вода | доступность,надо -> надо надо -> доступность,мадам -> надо -> вода вода -> доступность,мадам -> надо -> надо было -> вода вода -> доступность,2,2,2,доступн,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_061_free_text,1786194978795,free_text,145.660,149.660,4.000,будь проклят,было очень просто,было очень,прочно -> будь проклят,было тихо -> было очень -> будь проклят,было тихо -> было очень,1,1,1,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_062_free_text,1786194978795,free_text,149.660,152.900,3.240,будь проклят,было очень просто,проклят,прочно -> будь проклят,было тихо -> было очень -> будь проклят,просто,1,1,1,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_063_free_text,1786194978795,free_text,153.340,155.300,1.960,порока,,,порока,,,1,0,0,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_064_free_text,1786194978795,free_text,155.740,159.740,4.000,список | коробка а рока,были | того,были | того,список -> коробка -> коробка а -> коробка рока,были -> кроме того -> кроме того как,кроме того -> кроме того как,2,2,2,список,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_065_free_text,1786194978795,free_text,159.740,160.580,0.840,коробка а рока,были,были,коробка -> коробка а -> коробка рока,были,,1,1,1,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_066_free_text,1786194978795,free_text,161.020,164.420,3.400,были этой,были | было халка,готовить | было,этой,были -> было,этой -> было,1,2,2,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_067_free_text,1786194978795,free_text,168.700,171.620,2.920,а рота,готовить,,рота,,,1,1,0,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
seg_1786194978795_068_free_text,1786194978795,free_text,171.500,174.080,2.580,надо,готовить | надо | рока рота,очень надо | рота,надо,надо,надо,1,3,2,,вниз/вверх; печать; жёлтый; белый; мобильный; назад; доступность; список; молочное; коровка,unlabeled,,,
